video_id,trending_date,title,channel_title,category_id,publish_time,views,likes,dislikes,comment_count
ZYZBD3gSOj4,18.11.03,7つの珍魚！？7種類のお魚を食らってみた！,きまぐれクック,24,2018-03-10T11:00:02.000Z,281281,3503,427,694
ZYZBD3gSOj4,18.12.03,7つの珍魚！？7種類のお魚を食らってみた！,きまぐれクック,24,2018-03-10T11:00:02.000Z,356757,4034,540,748
zYwACuDsn70,18.18.03,絶滅したヤバイ生物たち！・意味がわかると怖い写真,Naokiman show,24,2018-03-17T09:19:20.000Z,146205,6030,111,1999
ZyuUdvpguiU,18.28.04,"여기저기서 극찬 쏟아진 남북정상회담 환송행사, 손석희 제가 설명을 얹기가 죄송할 정도로 잘 준비된 공연이다",무마니,25,2018-04-27T13:00:43.000Z,478396,3908,342,988
zyUDzlpM90E,18.25.03,中日の松坂投手に中山＆上重が本音インタビュー！シューイチ 3月25日,プロ野球&&スポーーツNEWS!2018!,17,2018-03-25T00:54:06.000Z,8075,35,2,3
zyUDzlpM90E,18.25.03,中日の松坂投手に中山＆上重が本音インタビュー！シューイチ 3月25日,プロ野球&&スポーーツNEWS!2018!,17,2018-03-25T00:54:06.000Z,8075,35,2,3
ZyssHXRim0U,18.23.04,GW直前！歌マクロス公式生放送 ～キラッ☆と新機能解禁SP～,歌マクロス スマホDeカルチャー 公式,20,2018-04-22T12:56:01.000Z,43590,982,20,17
zYole14OSec,18.02.05,5月2日 ビビットの江原啓之がTOKIO国分太一に,ワンコChannel,23,2018-05-01T23:59:56.000Z,35509,80,20,35
zYole14OSec,18.02.05,5月2日 ビビットの江原啓之がTOKIO国分太一に,ワンコChannel,23,2018-05-01T23:59:56.000Z,35509,80,20,35
zYole14OSec,18.03.05,5月2日 ビビットの江原啓之がTOKIO国分太一に,ワンコChannel,23,2018-05-01T23:59:56.000Z,220480,349,222,150
zYole14OSec,18.03.05,5月2日 ビビットの江原啓之がTOKIO国分太一に,ワンコChannel,23,2018-05-01T23:59:56.000Z,220480,349,222,150
zYole14OSec,18.04.05,5月2日 ビビットの江原啓之がTOKIO国分太一に,ワンコChannel,23,2018-05-01T23:59:56.000Z,284224,416,280,164
ZyiWYPZHmLo,18.01.04,めちゃイケ 卒業！岡村隆史『めちゃイケは ぼくの青春でした』,ヒロトモコ,22,2018-03-31T14:26:56.000Z,9432,62,3,4
zyGXv8Emkdc,18.27.05,阪神タイガースハイライトいいとこ取り　中谷今季チーム初サヨナラ決めた！巨人に連勝し貯金１に！打線は大山の猛打賞もあり１１安打,オーブ77,24,2018-05-26T09:22:46.000Z,92905,550,38,453
ZY-AOwHy4rQ,18.11.02,背よりも高いバンカーでマイコちゃんピンチ！,ringolf - ゴルフと女子とラウンド動画 - リンゴルフ,17,2018-02-11T02:08:54.000Z,6979,69,13,12
zY8q_K32nMc,18.15.05,Thiên Biến Vạn Hóa Tập 41 | YÊU NHẦM THÁNH CHỬI | Phim Hài 2018,Loa Phường,23,2018-05-14T13:00:04.000Z,344489,5438,191,578
zY6x8jwiRQs,18.11.02,平昌五輪 開会式 会場 ほとんど空席だった写真！？,Antennas,25,2018-02-10T01:00:32.000Z,285706,837,378,545
ZXZspf8Ng4w,18.28.02,アロマティックトークinぱちタウン #82【木村魚拓ｘ沖ヒカルｘグレート巨砲】★毎週水曜日配信★,【公式】DMMぱちタウンch,24,2018-02-28T00:00:03.000Z,4298,36,6,4
zXy3_FKyv_4,18.03.06,【ベイブレード超Z】不死身のベイ参上！！バーストされても回り続ける驚異の能力とは！？【リヴァイブフェニックス】,コロコロチャンネル【公式】,24,2018-06-02T23:00:20.000Z,38451,336,64,56
